ZIP,DATE,TIME,TYPE
90012,2016-10-28,10:10:00,VANDALISM
90703,2016-08-19,10:08:00,BURGLARY
90746,2016-12-21,11:12:42,VANDALISM
90222,2016-03-13,01:03:00,VANDALISM
91744,2016-09-08,05:09:31,VANDALISM
91748,2016-01-16,03:01:00,VANDALISM
90262,2016-08-15,04:08:00,GRAND THEFT AUTO
91770,2016-02-14,08:02:00,VANDALISM
91744,2016-06-02,09:06:00,AGGRAVATED ASSAULT
90650,2016-02-18,12:02:00,VEHICLE / BOATING LAWS
90022,2016-12-10,08:12:00,LARCENY THEFT
90262,2016-04-16,11:04:00,WEAPON LAWS
90650,2016-05-04,12:05:00,LARCENY THEFT
91773,2016-08-05,03:08:30,LARCENY THEFT
91733,2016-03-23,12:03:00,ROBBERY
90606,2016-07-23,04:07:00,LARCENY THEFT
91744,2016-02-28,12:02:30,BURGLARY
91746,2016-04-29,02:04:00,VANDALISM
90022,2016-07-19,06:07:00,VANDALISM
90717,2016-06-22,06:06:00,LARCENY THEFT
91744,2016-07-29,07:07:00,LARCENY THEFT
90717,2016-08-28,06:08:00,FEDERAL OFFENSES WITH MONEY
90650,2016-03-16,06:03:00,LARCENY THEFT
90723,2016-06-10,08:06:15,VEHICLE / BOATING LAWS
90745,2016-09-24,10:09:33,BURGLARY
90262,2016-12-27,05:12:00,BURGLARY
90304,2016-09-28,06:09:00,GRAND THEFT AUTO
91780,2016-11-24,07:11:00,FRAUD AND NSF CHECKS
91773,2016-12-27,01:12:30,BURGLARY
91770,2016-11-26,10:11:00,VANDALISM
90022,2016-03-21,09:03:09,GRAND THEFT AUTO
90001,2016-08-18,09:08:00,ROBBERY
90040,2016-04-07,07:04:00,GRAND THEFT AUTO
90712,2016-09-03,03:09:00,VANDALISM
91780,2016-07-17,11:07:30,FRAUD AND NSF CHECKS
91731,2016-11-27,02:11:00,VANDALISM
90650,2016-04-15,02:04:30,LARCENY THEFT
90023,2016-04-26,02:04:00,VANDALISM
91765,2016-04-06,03:04:00,BURGLARY
90706,2016-05-24,11:05:00,BURGLARY
93535,2016-05-20,01:05:00,BURGLARY
91765,2016-01-17,06:01:00,FRAUD AND NSF CHECKS
91754,2016-05-16,11:05:30,VEHICLE / BOATING LAWS
91765,2016-05-05,12:05:00,LARCENY THEFT
93535,2016-01-17,06:01:00,VANDALISM
90012,2016-07-26,02:07:07,WEAPON LAWS
91789,2016-06-07,02:06:00,LARCENY THEFT
91765,2016-05-03,04:05:00,BURGLARY
91702,2016-05-17,04:05:00,NARCOTICS
90045,2016-08-04,06:08:00,FELONIES MISCELLANEOUS
91107,2016-06-25,12:06:00,AGGRAVATED ASSAULT
90292,2016-08-22,07:08:00,GRAND THEFT AUTO
90745,2016-08-22,10:08:00,LARCENY THEFT
90660,2016-02-28,02:02:00,VANDALISM
91006,2016-04-04,09:04:00,BURGLARY
91702,2016-10-13,07:10:00,VEHICLE / BOATING LAWS
91722,2016-10-09,11:10:00,DRUNK / ALCOHOL / DRUGS
91702,2016-10-13,07:10:00,VEHICLE / BOATING LAWS
90650,2016-07-19,08:07:00,CRIMINAL HOMICIDE
90069,2016-10-04,12:10:00,BURGLARY
90723,2016-05-04,01:05:00,VANDALISM
91744,2016-04-22,11:04:00,BURGLARY
90001,2016-03-05,01:03:30,LARCENY THEFT
90022,2016-09-15,09:09:55,VANDALISM
90044,2016-07-12,08:07:00,ROBBERY
90001,2016-07-15,01:07:00,LARCENY THEFT
90605,2016-05-05,05:05:00,LARCENY THEFT
91770,2016-09-02,02:09:00,BURGLARY
91789,2016-02-22,02:02:00,VANDALISM
91104,2016-09-27,02:09:00,NARCOTICS
90045,2016-08-16,10:08:00,FEDERAL OFFENSES WITH MONEY
90706,2016-10-04,08:10:00,LARCENY THEFT
90703,2016-08-31,03:08:00,VEHICLE / BOATING LAWS
90001,2016-04-26,12:04:00,ROBBERY
91773,2016-08-15,03:08:00,LARCENY THEFT
90703,2016-10-02,01:10:00,FRAUD AND NSF CHECKS
90220,2016-05-09,08:05:00,VANDALISM
91355,2016-09-28,12:09:00,BURGLARY
90701,2016-08-24,12:08:01,VEHICLE / BOATING LAWS
90304,2016-10-02,03:10:00,BURGLARY
90703,2016-04-14,06:04:00,VANDALISM
90703,2016-02-10,10:02:00,MISDEMEANORS MISCELLANEOUS
93550,2016-04-14,02:04:00,VANDALISM
90703,2016-02-11,02:02:00,LARCENY THEFT
91765,2016-04-13,12:04:00,LARCENY THEFT
91744,2016-12-02,12:12:00,VANDALISM
93551,2016-09-27,02:09:30,ROBBERY
90706,2016-08-10,01:08:00,VANDALISM
90001,2016-03-23,12:03:00,VANDALISM
91745,2016-03-25,01:03:00,VANDALISM
90650,2016-09-27,11:09:30,FRAUD AND NSF CHECKS
91746,2016-07-13,01:07:30,VANDALISM
90220,2016-04-03,12:04:00,WEAPON LAWS
90001,2016-05-06,01:05:00,NARCOTICS
91770,2016-06-10,05:06:00,BURGLARY
91765,2016-01-11,04:01:00,FELONIES MISCELLANEOUS
91744,2016-10-16,07:10:00,VANDALISM
90703,2016-01-11,12:01:00,FRAUD AND NSF CHECKS
90201,2016-05-11,03:05:00,WEAPON LAWS
93551,2016-02-24,12:02:00,LARCENY THEFT
93551,2016-02-16,10:02:00,LARCENY THEFT
91722,2016-04-11,02:04:00,LARCENY THEFT
93510,2016-03-16,11:03:00,FORCIBLE RAPE
93510,2016-09-09,11:09:00,NON-AGGRAVATED ASSAULTS
90220,2016-03-28,02:03:00,ROBBERY
91722,2016-08-21,02:08:00,NARCOTICS
91301,2016-09-22,02:09:43,DRUNK / ALCOHOL / DRUGS
90650,2016-11-14,02:11:00,LARCENY THEFT
91744,2016-08-18,11:08:19,VANDALISM
91381,2016-07-30,10:07:00,NON-AGGRAVATED ASSAULTS
93544,2016-08-27,03:08:00,NON-AGGRAVATED ASSAULTS
90061,2016-04-05,09:04:00,AGGRAVATED ASSAULT
90703,2016-08-01,01:08:00,LARCENY THEFT
90262,2016-04-06,05:04:00,WEAPON LAWS
91765,2016-11-17,03:11:00,VEHICLE / BOATING LAWS
90022,2016-02-05,01:02:00,VANDALISM
90003,2016-10-27,08:10:00,NON-AGGRAVATED ASSAULTS
90046,2016-02-24,02:02:00,BURGLARY
90001,2016-06-12,09:06:00,VANDALISM
90001,2016-02-29,01:02:00,NON-AGGRAVATED ASSAULTS
93550,2016-04-23,03:04:00,BURGLARY
90292,2016-03-28,11:03:00,DRUNK / ALCOHOL / DRUGS
90717,2016-09-14,06:09:00,BURGLARY
91770,2016-06-28,11:06:30,LARCENY THEFT
91748,2016-08-10,04:08:00,NON-AGGRAVATED ASSAULTS
91770,2016-02-26,01:02:00,LARCENY THEFT
91770,2016-08-22,11:08:00,LARCENY THEFT
90717,2016-06-17,10:06:00,VANDALISM
90304,2016-06-17,09:06:00,VANDALISM
90723,2016-08-18,02:08:00,VEHICLE / BOATING LAWS
90262,2016-09-25,10:09:00,FORCIBLE RAPE
90605,2016-12-16,08:12:00,OFFENSES AGAINST FAMILY
90723,2016-08-26,03:08:00,VAGRANCY
90723,2016-08-06,05:08:00,LIQUOR LAWS
90723,2016-09-04,12:09:00,NON-AGGRAVATED ASSAULTS
90723,2016-09-06,12:09:00,LIQUOR LAWS
93534,2016-12-27,04:12:00,LARCENY THEFT
90706,2016-01-20,04:01:00,VANDALISM
90745,2016-01-19,02:01:25,LARCENY THEFT
90706,2016-03-20,06:03:00,VANDALISM
91748,2016-04-23,04:04:57,GRAND THEFT AUTO
90022,2016-06-23,10:06:00,VANDALISM
90745,2016-09-17,12:09:00,ROBBERY
91773,2016-07-16,01:07:00,VANDALISM
91748,2016-04-24,03:04:00,LARCENY THEFT
90605,2016-01-15,07:01:00,BURGLARY
90660,2016-12-07,11:12:00,ROBBERY
93550,2016-04-16,12:04:00,VANDALISM
91001,2016-07-14,09:07:00,BURGLARY
91789,2016-02-16,11:02:00,NON-AGGRAVATED ASSAULTS
90001,2016-12-07,10:12:00,NON-AGGRAVATED ASSAULTS
90604,2016-01-20,07:01:00,BURGLARY
90029,2016-02-19,01:02:00,LARCENY THEFT
93510,2016-03-03,10:03:00,NARCOTICS
90222,2016-04-20,08:04:00,WEAPON LAWS
90723,2016-05-20,07:05:00,NARCOTICS
90274,2016-01-21,12:01:00,VANDALISM
91302,2016-12-01,12:12:00,FRAUD AND NSF CHECKS
90650,2016-06-03,07:06:00,LARCENY THEFT
90745,2016-03-04,10:03:00,BURGLARY
90703,2016-01-18,02:01:00,BURGLARY
90056,2016-07-05,03:07:00,VANDALISM
90706,2016-03-23,07:03:30,VANDALISM
90043,2016-05-09,02:05:00,FRAUD AND NSF CHECKS
90660,2016-05-05,09:05:00,AGGRAVATED ASSAULT
90040,2016-01-03,10:01:00,VANDALISM
90650,2016-08-14,10:08:00,NON-AGGRAVATED ASSAULTS
91748,2016-04-23,11:04:30,GRAND THEFT AUTO
90604,2016-04-22,03:04:00,LARCENY THEFT
90706,2016-05-11,07:05:00,LARCENY THEFT
90746,2016-05-15,12:05:00,AGGRAVATED ASSAULT
90069,2016-01-13,01:01:00,LARCENY THEFT
90262,2016-02-10,01:02:00,LARCENY THEFT
90745,2016-06-17,09:06:00,WEAPON LAWS
90745,2016-09-08,12:09:00,BURGLARY
91773,2016-01-19,01:01:00,GRAND THEFT AUTO
91770,2016-01-24,05:01:00,LARCENY THEFT
91744,2016-04-11,12:04:30,LARCENY THEFT
90745,2016-02-03,05:02:00,WEAPON LAWS
90723,2016-05-11,01:05:00,VANDALISM
91765,2016-06-15,09:06:00,LARCENY THEFT
90723,2016-09-26,11:09:00,BURGLARY
90292,2016-03-26,03:03:00,DRUNK / ALCOHOL / DRUGS
91016,2016-05-15,02:05:00,VANDALISM
90260,2016-01-13,10:01:00,LARCENY THEFT
91773,2016-04-07,07:04:00,VANDALISM
91789,2016-01-25,08:01:00,BURGLARY
91789,2016-11-18,12:11:00,BURGLARY
91789,2016-11-21,02:11:30,BURGLARY
90220,2016-12-04,01:12:00,VANDALISM
90017,2016-12-05,05:12:00,ROBBERY
91773,2016-12-06,06:12:00,VANDALISM
90745,2016-04-09,06:04:00,ROBBERY
90703,2016-11-24,06:11:30,LARCENY THEFT
90710,2016-01-13,07:01:00,BURGLARY
90723,2016-02-04,04:02:00,SEX OFFENSES MISDEMEANORS
90638,2016-06-23,11:06:30,BURGLARY
90723,2016-02-11,04:02:00,LARCENY THEFT
90723,2016-02-19,10:02:00,ROBBERY
90723,2016-02-19,08:02:00,NON-AGGRAVATED ASSAULTS
93535,2016-11-01,02:11:00,VANDALISM
90723,2016-03-15,07:03:00,NON-AGGRAVATED ASSAULTS
91789,2016-04-02,12:04:00,AGGRAVATED ASSAULT
91780,2016-11-02,02:11:00,VANDALISM
90022,2016-09-06,01:09:40,LARCENY THEFT
91384,2016-09-11,10:09:00,VANDALISM
91387,2016-09-25,01:09:00,LARCENY THEFT
91384,2016-05-07,08:05:00,NON-AGGRAVATED ASSAULTS
91384,2016-05-09,08:05:00,NON-AGGRAVATED ASSAULTS
91384,2016-05-14,04:05:00,WEAPON LAWS
90262,2016-07-15,01:07:00,ROBBERY
90703,2016-12-07,07:12:00,BURGLARY
90047,2016-06-10,05:06:00,GRAND THEFT AUTO
91384,2016-04-10,05:04:00,NON-AGGRAVATED ASSAULTS
90723,2016-01-07,06:01:00,VEHICLE / BOATING LAWS
90033,2016-05-02,09:05:00,NARCOTICS
90745,2016-09-12,08:09:00,GRAND THEFT AUTO
90260,2016-03-18,04:03:00,DRUNK DRIVING VEHICLE / BOAT
90745,2016-10-09,11:10:00,GRAND THEFT AUTO
90639,2016-01-30,01:01:00,LARCENY THEFT
93550,2016-04-07,04:04:00,DRUNK / ALCOHOL / DRUGS
90660,2016-05-24,11:05:00,LARCENY THEFT
90069,2016-10-08,07:10:00,LARCENY THEFT
90706,2016-11-09,10:11:00,VEHICLE / BOATING LAWS
91010,2016-01-20,06:01:00,VANDALISM
90720,2016-08-21,12:08:00,FRAUD AND NSF CHECKS
90502,2016-12-01,02:12:00,GRAND THEFT AUTO
90220,2016-08-28,09:08:00,VANDALISM
90255,2016-11-06,08:11:00,LARCENY THEFT
90022,2016-12-05,09:12:05,GRAND THEFT AUTO
90044,2016-04-17,08:04:00,BURGLARY
90059,2016-07-28,12:07:00,WEAPON LAWS
90706,2016-07-28,04:07:00,ROBBERY
90606,2016-02-18,08:02:00,VANDALISM
91733,2016-06-23,08:06:00,AGGRAVATED ASSAULT
90660,2016-02-20,07:02:00,VANDALISM
91001,2016-04-20,03:04:00,VANDALISM
90023,2016-02-24,06:02:00,VANDALISM
91304,2016-03-28,01:03:00,VANDALISM
90723,2016-09-26,08:09:00,GRAND THEFT AUTO
90220,2016-07-02,09:07:00,NON-AGGRAVATED ASSAULTS
91214,2016-01-19,11:01:00,VANDALISM
90703,2016-02-03,02:02:00,LARCENY THEFT
91214,2016-01-29,05:01:30,LARCENY THEFT
90220,2016-09-18,05:09:00,LARCENY THEFT
90703,2016-01-11,08:01:00,LARCENY THEFT
90046,2016-01-17,03:01:00,VANDALISM
90701,2016-01-02,02:01:00,LARCENY THEFT
90723,2016-01-17,04:01:00,GRAND THEFT AUTO
90703,2016-02-14,03:02:00,FORCIBLE RAPE
91748,2016-02-25,04:02:00,NARCOTICS
90717,2016-01-11,12:01:30,NON-AGGRAVATED ASSAULTS
90604,2016-04-22,07:04:00,VANDALISM
90270,2016-04-26,01:04:38,FORGERY
90604,2016-04-23,06:04:00,VANDALISM
91351,2016-04-22,02:04:00,VANDALISM
90221,2016-03-02,06:03:00,VANDALISM
90063,2016-09-22,05:09:55,VANDALISM
91010,2016-12-02,01:12:00,AGGRAVATED ASSAULT
90059,2016-07-26,06:07:00,FORCIBLE RAPE
90650,2016-06-06,11:06:00,NON-AGGRAVATED ASSAULTS
90265,2016-01-23,10:01:00,NARCOTICS
91007,2016-01-19,02:01:00,VANDALISM
91350,2016-01-24,02:01:00,NON-AGGRAVATED ASSAULTS
90260,2016-02-03,09:02:00,NON-AGGRAVATED ASSAULTS
90660,2016-01-17,03:01:00,LARCENY THEFT
91789,2016-05-09,03:05:00,BURGLARY
90220,2016-04-08,07:04:00,MISDEMEANORS MISCELLANEOUS
91301,2016-12-30,03:12:00,FEDERAL OFFENSES WITH MONEY
90275,2016-04-29,06:04:00,SEX OFFENSES FELONIES
91744,2016-05-19,07:05:02,VEHICLE / BOATING LAWS
91724,2016-06-06,04:06:00,SEX OFFENSES MISDEMEANORS
91351,2016-02-10,08:02:00,VEHICLE / BOATING LAWS
90260,2016-02-17,12:02:00,GRAND THEFT AUTO
90706,2016-01-08,06:01:00,LARCENY THEFT
91744,2016-10-02,06:10:00,BURGLARY
90703,2016-12-06,04:12:30,LARCENY THEFT
90703,2016-12-04,02:12:00,FRAUD AND NSF CHECKS
91748,2016-09-07,11:09:00,VANDALISM
90744,2016-08-30,11:08:00,MISDEMEANORS MISCELLANEOUS
90703,2016-03-14,03:03:00,LARCENY THEFT
91748,2016-12-26,11:12:00,VANDALISM
90048,2016-07-07,11:07:00,NARCOTICS
90012,2016-12-12,03:12:00,NON-AGGRAVATED ASSAULTS
90012,2016-01-08,06:01:00,NON-AGGRAVATED ASSAULTS
90220,2016-04-24,03:04:00,ROBBERY
90650,2016-04-24,01:04:00,GRAND THEFT AUTO
90044,2016-01-26,02:01:00,SEX OFFENSES MISDEMEANORS
91301,2016-11-21,08:11:00,BURGLARY
90260,2016-06-01,08:06:00,NARCOTICS
91789,2016-10-07,12:10:00,NARCOTICS
91010,2016-02-06,09:02:00,NON-AGGRAVATED ASSAULTS
91387,2016-05-03,11:05:00,LARCENY THEFT
91351,2016-01-06,10:01:00,VEHICLE / BOATING LAWS
90650,2016-04-13,12:04:00,NARCOTICS
91384,2016-01-31,07:01:00,NON-AGGRAVATED ASSAULTS
90716,2016-09-21,12:09:00,NARCOTICS
93535,2016-07-06,12:07:00,ARSON
90063,2016-09-29,02:09:30,VANDALISM
90660,2016-12-21,12:12:00,LARCENY THEFT
90660,2016-12-24,11:12:00,LARCENY THEFT
90022,2016-06-15,10:06:00,MISDEMEANORS MISCELLANEOUS
91010,2016-12-07,08:12:00,BURGLARY
90064,2016-09-22,08:09:00,LARCENY THEFT
90746,2016-07-11,07:07:01,LARCENY THEFT
90703,2016-09-14,08:09:00,VEHICLE / BOATING LAWS
93535,2016-04-07,03:04:00,AGGRAVATED ASSAULT
90706,2016-10-02,12:10:00,VEHICLE / BOATING LAWS
91351,2016-04-17,07:04:00,DISORDERLY CONDUCT
90660,2016-01-03,09:01:00,LARCENY THEFT
93552,2016-10-16,07:10:00,NARCOTICS
90001,2016-09-26,04:09:00,ROBBERY
91770,2016-11-13,09:11:00,FRAUD AND NSF CHECKS
93551,2016-10-28,09:10:00,NARCOTICS
90002,2016-11-27,11:11:00,BURGLARY
91770,2016-11-14,05:11:00,LARCENY THEFT
90002,2016-11-27,10:11:00,BURGLARY
90247,2016-06-27,04:06:00,CRIMINAL HOMICIDE
90063,2016-11-25,05:11:30,LARCENY THEFT
91301,2016-09-25,12:09:00,NON-AGGRAVATED ASSAULTS
90001,2016-05-06,06:05:00,NARCOTICS
90304,2016-11-14,06:11:30,BURGLARY
90660,2016-12-03,01:12:00,LARCENY THEFT
91773,2016-02-05,09:02:00,AGGRAVATED ASSAULT
90001,2016-06-28,09:06:00,NARCOTICS
90638,2016-04-23,05:04:00,VANDALISM
91745,2016-03-30,11:03:30,BURGLARY
90703,2016-04-19,02:04:00,LARCENY THEFT
90044,2016-05-27,03:05:00,NARCOTICS
91780,2016-07-28,12:07:00,BURGLARY
90033,2016-07-23,12:07:30,LARCENY THEFT
90275,2016-06-23,03:06:00,FORGERY
90715,2016-07-30,07:07:00,BURGLARY
91371,2016-01-11,08:01:30,LARCENY THEFT
90221,2016-10-30,12:10:00,NON-AGGRAVATED ASSAULTS
90706,2016-11-17,12:11:00,LARCENY THEFT
90703,2016-01-31,10:01:00,LARCENY THEFT
93534,2016-04-24,10:04:00,LARCENY THEFT
91302,2016-02-29,01:02:00,NARCOTICS
90022,2016-05-10,07:05:00,LARCENY THEFT
91745,2016-08-17,02:08:00,FEDERAL OFFENSES WITH MONEY
91301,2016-06-06,09:06:00,FELONIES MISCELLANEOUS
90660,2016-08-15,02:08:00,LARCENY THEFT
90660,2016-08-14,01:08:00,LARCENY THEFT
90069,2016-09-03,05:09:00,LARCENY THEFT
90022,2016-05-05,01:05:37,DISORDERLY CONDUCT
90262,2016-10-25,01:10:00,NON-AGGRAVATED ASSAULTS
91765,2016-02-26,05:02:00,MISDEMEANORS MISCELLANEOUS
90638,2016-03-23,03:03:00,NARCOTICS
90220,2016-04-27,04:04:00,SEX OFFENSES MISDEMEANORS
90292,2016-05-03,12:05:00,LARCENY THEFT
90502,2016-08-21,06:08:30,LARCENY THEFT
91011,2016-09-14,02:09:00,LARCENY THEFT
91387,2016-01-29,02:01:00,LARCENY THEFT
90703,2016-02-01,03:02:00,LARCENY THEFT
90265,2016-12-07,11:12:00,LARCENY THEFT
90265,2016-12-02,12:12:00,VANDALISM
90063,2016-04-08,06:04:18,GRAND THEFT AUTO
90723,2016-06-21,10:06:00,VEHICLE / BOATING LAWS
90712,2016-04-14,02:04:00,LARCENY THEFT
90712,2016-04-14,04:04:00,LARCENY THEFT
90712,2016-04-14,09:04:00,LARCENY THEFT
90502,2016-10-13,12:10:30,LARCENY THEFT
90639,2016-10-02,10:10:00,LARCENY THEFT
90638,2016-04-01,08:04:00,LIQUOR LAWS
93536,2016-10-02,06:10:00,NON-AGGRAVATED ASSAULTS
90220,2016-07-01,05:07:00,MISDEMEANORS MISCELLANEOUS
90723,2016-08-31,05:08:00,VEHICLE / BOATING LAWS
90660,2016-04-08,01:04:00,LARCENY THEFT
91350,2016-11-16,06:11:00,VEHICLE / BOATING LAWS
90262,2016-05-21,11:05:00,BURGLARY
91754,2016-11-28,09:11:30,LARCENY THEFT
