Year,Month,Day,Temp high,Temp avg,Temp low,Dew Point high,Dew Point avg,Dew Point low,Humidity high,Humidity avg,Humidity low,Pressure high,Pressure avg,Pressure low,Visibility high,Visibility avg,Visibility low,Wind high,Wind avg,Wind high,Precip. (mm),Events
2010,1,1,21,16,11,6,2,-1,61,42,23,1026,1022,1018,16,16,13,13,1,19,0,
2010,1,2,26,18,10,4,2,-1,63,42,20,1018,1017,1015,16,16,16,11,1,16,0,
2010,1,3,26,19,12,-1,-4,-10,36,22,8,1019,1017,1016,16,16,16,10,2,14,0,
2010,1,4,25,19,13,4,-3,-7,42,27,12,1019,1017,1016,16,16,16,10,4,19,0,
2010,1,5,26,19,12,8,-1,-7,67,39,11,1019,1017,1015,16,16,16,19,3,27,0,
2010,1,6,24,18,11,8,3,-4,72,44,16,1018,1016,1015,16,16,13,10,1,14,0,
2010,1,7,23,17,9,11,7,1,89,56,23,1017,1015,1013,16,11,5,10,1,16,0,
2010,1,8,26,18,11,9,6,2,89,56,23,1020,1018,1016,16,14,8,8,1,13,0,
2010,1,9,25,20,14,7,3,0,48,35,21,1022,1020,1018,16,16,16,10,2,14,0,
2010,1,10,25,19,12,8,4,1,67,44,21,1020,1019,1017,16,16,16,11,1,19,0,
2010,1,11,27,19,11,8,4,-1,62,39,16,1021,1019,1017,16,16,16,8,1,16,0,
2010,1,12,23,17,12,12,9,7,86,61,35,1022,1020,1019,16,12,6,11,1,13,0,
2010,1,13,19,16,12,12,10,3,89,67,44,1022,1020,1018,16,9,2,16,4,34,4.06,Rain
2010,1,14,23,17,11,8,4,-2,83,52,20,1022,1020,1019,16,15,8,11,2,19,0,
2010,1,15,24,17,10,3,0,-6,59,37,14,1023,1020,1017,16,16,16,10,0,14,0,
2010,1,16,22,17,12,11,4,-2,80,51,22,1017,1015,1013,16,16,13,13,1,23,0,
2010,1,17,19,16,12,12,9,6,86,67,48,1016,1015,1013,16,14,8,11,1,19,7.87,Rain
2010,1,18,17,15,13,14,12,9,93,83,72,1013,1009,1005,16,8,1,26,8,47,28.45,Rain
2010,1,19,14,12,10,11,9,7,83,75,67,1010,1005,1000,16,13,3,24,7,37,15.49,Rain
